id;rubrics
1;Общественные и гуманитарные науки
2;Философия и логика
3;Метафизика. Онтология
4;Гносеология (эпистемология). Философия науки
5;История философии
6;Логика
7;Философская антропология. Аксиология
8;Социальная философия
9;Этика. Культура поведения и этикет
10;Эстетика
11;История. Исторические науки
12;Источниковедение. Специальные исторические дисциплины
13;История в целом. Всемирная история
14;История России
15;История частей света и зарубежных стран
16;Археология
17;Этнология (этнография, народоведение). Обычаи и обряды
18;Экономика, управление, бизнес. Экономические науки
19;Общая экономическая теория. История экономики. История хозяйства. Экономическая география
20;Управление экономикой. Менеджмент, учет, аудит, экономические статистика и снализ, планирование, прогнозирование
21;Мировая экономика. Мировые экономические отношения. Экономика стран и регионов
22;Экономика труда и ценообразования
23;Финансы. Банковское дело. Рынок ценных бумаг. Страхование. Социальное обеспечение
24;Бизнес и предпринимательство. Экономика предприятия
25;Экономика промышленности, строительства, недвижимости, транспорта и связи
26;Экономика сельского, лесного, рыбного, мелиоративного и водного хозяйства
27;Торговля. Бытовое обслуживание. Маркетинг. Экономика рекламы
28;Экономика прочих отраслей
29;Политика. Политические науки
30;Политология
31;История политической мысли
32;Политика и современное политическое положение в целом
33;Внутренняя политика в целом. Внутренняя политика зарубежных стран и регионов
34;Внутренняя политика Российской Федерации
35;Внешняя политика в целом. Дипломатия. Внешняя политика зарубежных стран и регионов
36;Внешняя политика Российской Федерации
37;Политические движения и партии
38;Общественные движения и организации
39;Право. Юридические науки
40;Общая теория права. История правовой мысли. История государства и права
41;Конституционное (государственное) право
42;Административное право
43;Гражданское, торговое, финансовое, интеллектуальное право. Семейное право
44;Трудовое право и право социального обеспечения
45;Уголовное и уголовно-исполнительное право. Судебно-процессуальное право. Судопроизводство
46;Другие отрасли права
47;Криминология, криминалистика, судебная экспертиза, юридическая статистика
48;Органы юстиции. Судебная система, прокуратура, органы расследования, адвокатура, нотариат
49;Международное право. Право отдельных стран
50;Социология
51;История социологии
52;Общество в целом. Общие характеристики социума
53;Социология личности
54;Социология групп и организаций
55;Экономическая социология
56;Политическая социология
57;Социология семьи, брака и отношений полов
58;Социология социального обеспечения и благотворительной деятельности
59;Социологии других областей
60;Региональная социология
61;Статистика и демография. Социальное управление. Социальная защита
62;Статистика
63;Демография
64;Социальное управление
65;Социальная защита
66;Религия. Мистика. Свободомыслие
67;Религия в целом. Религиоведение
68;Ранние формы религии. Религии древнего мира
69;Христианство
70;Ислам (мусульманство)
71;Иудаизм
72;Буддизм
73;Другие религии
74;Формы нетрадиционной религиозности. Культы, секты
75;Мистика. Магия. Эзотерика и оккультизм
76;Свободомыслие. Атеизм. Светский гуманизм. Секуляризм
77;Военное дело. Военная наука
78;Вооруженные силы в целом. Военная история. Военная служба
79;Вооруженные силы Российской Федерации
80;Вооруженные силы зарубежных стран
81;Сухопутные войска. Ракетные войска стратегического назначения
82;Военно-воздушные силы. Воздушно-десантные и космические войска. Войска противовоздушной и противоракетной обороны
83;Военно-морской флот
84;Пограничные и внутренние войска. Силы специальных операций
85;Военная экономика. Тыл и обеспечение вооруженных сил
86;Военная техника. Военно-технические и военно-специальные науки
87;Гражданская защита. Служба по чрезвычайным ситуациям
88;Культура, наука, образование, педагогика, психология. Информационная деятельность
89;Культура. Культурология
90;Теоретическая (фундаментальная) культурология. Философские основания, сущность и генезис культуры
91;Динамика культуры
92;Семиотика и семантика культуры
93;Морфология (структура) культуры
94;Культура и личность
95;Типология культуры
96;Историческая культурология
97;Прикладная культурология. Культурная политика
98;Наука. Науковедение
99;История науки
100;Организация науки
101;Научно-исследовательская деятельность
102;Ученые. Научные работники
103;Научно-информационная деятельность. Научно-техническая информация
104;Образование. Педагогика
105;Общая педагогика. Воспитание. Дидактика. История образования и педагогики
106;Организация образования
107;Дошкольное образование и воспитание. Дошкольная педагогика
108;Общеобразовательная школа. Педагогика общего образования
109;Образование взрослых. Андрагогика
110;Профессиональное и специальное образование
111;Коррекционная (специальная) педагогика
112;Специализированные отрасли педагогики
113;Семейное воспитание и образование. Самообразование
114;Психология
115;История психологии
116;Общая психология
117;Психология личности
118;Психология развития и возрастная психология
119;Социальная психология
120;Педагогическая психология
121;Медицинская (клиническая) психология
122;Психология труда и профессиональной деятельности
123;Прикладная психология. Психоанализ
124;Физическая культура и спорт. Туризм
125;Медико-биологические основы физического воспитания
126;Теория и методика физического воспитания и физической тренировки
127;История физической культуры
128;Организация физической культуры
129;Спортивные игры
130;Гимнастика
131;Неигровые виды спорта
132;Спортивно-оздоровительный туризм
133;Альпинизм
134;Средства массовой информации. Издательское дело
135;СМИ. Журналистика в целом
136;Периодическая печать
137;Радиовещание. Радиожурналистика
138;Телевидение. Тележурналистика
139;Интернет-СМИ
140;Книжное дело. Общее книговедение
141;Издательское дело
142;Книжная торговля. Библиополистика
143;Коллекционирование произведение печати
144;Библиотечное дело
145;Библиотечная, библиографическая и научно-информационная деятельность в целом
146;Документоведение. Документология
147;Информационная культура личности. Чтение
148;Библиотечное дело. Библиотековедение
149;Библиография. Библиографоведение
150;Памятники природы, истории и культуры. Музейное и архивное дело
151;Охрана памятников природы, истории и культуры
152;Музейное дело. Музееведение
153;Выставки. Выставочное дело
154;Архивное дело. Архивоведение
155;Социокультурная деятельность в сфере досуга
156;Методика и организация социокультурной деятельности в сфере досуга
157;Клубная работа
158;Парковая работа
159;Рекреационно-развлекательная деятельность. Праздники. Развлекательно-игровые занятия
160;Самодеятельное творчество
161;Точные и естественные науки. Науки о Земле
162;Математика
163;Основания математики. Теория алгоритмов. Математическая логика
164;Теория чисел
165;Алгебра
166;Геометрия. Топология
167;Математический анализ.Функциональный анализ
168;Теория вероятностей и математическая статистика.
169;Дискретная математика. Комбинаторный анализ. Теория графов
170;Вычислительная математика
171;Информатика. Кибернетика и искусственный интеллект
172;Теория информации. Общая теория связи
173;Теория управляющих систем
174;Прикладная семиотика и математичсекая лингвистика
175;Искусственный интеллект
176;Математическая кибернетика. Исследование операций. Языки программирования и моделирования
177;Механика
178;Общая механика. Механика твердых тел. Кинематика. Статика
179;Динамика. Колебания механических систем
180;Механика деформируемых тел. Упругость. Прочность. Сопротивляемость
181;Механика жидкостей и газов
182;Физика
183;Акустика
184;Молекулярная физика
185;Термодинамика и статистическая физика
186;Электричество и магнетизм
187;Оптика
188;Физика атомного ядра и элементарных частиц
189;Физика твердого тела. Кристаллография
190;Теория относительности
191;Квантовая механика
192;Астрономия
193;Астрометрия
194;Теоретическая астрономия. Небесная механика
195;Астрофизика
196;Солнечная система
197;Звезды и межзвездная диффузная материя. Звездная (галактическая) астрономия
198;Звездные системы
199;Космогония
200;Химические науки
201;Общая и неорганическая химия
202;Органическая химия
203;Аналитическая химия
204;Физическая химия. Химическая физика
205;Коллоидная химия
206;Химия полимеров
207;Науки о Земле
208;Геодезия. Топография. Картография
209;Геофизика. Физика недр Земли
210;Гидрология
211;Метеорология
212;Геология в целом. Геохимия. Минералогия. Петрография. Геология полезных ископаемых
213;Динамическая геология
214;Историческая геология
215;Гидрогеология. Морская геология. Геокриология
216;Физическая география
217;Краеведение. Страноведение. Путешествия. Путеводители
218;Биологические науки
219;Общая биология
220;Палеонтология
221;Вирусология
222;Микробиология
223;Ботаника
224;Зоология
225;Биология человека. Антропология
226;Экология
227;Общая экология
228;Охрана окружающей среды в целом. Рациональное природопользование
229;Охрана живой природы. Заповедное дело
230;Экологический менеджмент и аудит
231;Социальная экология
232;Техника и технические науки
233;Технические науки и промышленность в целом
234;Изобретательство и рационализаторство. Патентное дело
235;Стандартизация и унификация
236;Метрология
237;Проектирование и конструирование. Системы автоматизированного проектирования. Инженерная графика и геометрическое моделирование
238;Материаловедение
239;Техническая физика. Техническая механика. Сопротивление материалов
240;Теория надежности
241;Техническая эстетика. Эргономика. Промышленный дизайн
242;Основы промышленного производства. Промышленная экология. Техника безопасности
243;Монтаж, эксплуатация, ремонт, реконструкция и модернизация машин и промышленного оборудования
244;Энергетика
245;Энергоресурсы. Энергетическое оборудование и машиностроение. Энергохозяйство
246;Электроэнергетика. Электротехника
247;Теплоэнергетика. Теплотехника
248;Ядерная (атомная) энергетика
249;Гидроэнергетика
250;Альтернативная энергетика
251;Пневмоэнергетика. Техника сжатых и разреженных газов
252;Автоматика, радиоэлектроника, связь
253;Общая радиотехника
254;Электроника
255;Квантовая электроника
256;Электроакустика
257;Электрическая связь. Радиосвязь
258;Телевидение
259;Радиолокация и оптическая локация. Радионавигация
260;Автоматика и телемеханика. Автоматизированные системы управления технологическими процессами
261;Другие отрасли радиоэлектроники и электросвязи
262;Горное дело и металлургия
263;Общие вопросы горного дела
264;Разработка месторождений твердых полезных ископаемых
265;Разработка месторождений жидких газообразных полезных ископаемых
266;Обогащение полезных ископаемых. Рудоподготовка
267;Общая технология металлов
268;Металловедение
269;Металлургия черных металлов
270;Металлургия цветных металлов
271;Порошковая металлургия
272;Отдельные способы металлургии. Комплексная переработка руд
273;Машиностроение. Приборостроение
274;Общее машиностроение. Машиноведение
275;Общая технология машиностроения. Обработка металлов
276;Машиностроительные и металлообрабатывающие процессы и производства
277;Отраслевое машиностроение
278;Производство метизов
279;Приборостроение
280;Химические технологии и производства. Биотехнологии
281;Химическая технология в целом. Основные процессы и аппараты
282;Технологии неорганических веществ и основных химических продуктов
283;Производства удобрений и пестицидов
284;Силикатные производства
285;Основные технологии органических веществ
286;Технологии топлива. Органический синтез
287;Лекарственные вещества и препараты. Фармацевтические производства
288;Производства полимеров и пластмасс
289;Лесохимические и целлюлозно-бумажные производства
290;Биотехнологии
291;Информационные и компьютерные технологии
292;Системотехника
293;Аппаратные средства. Компьютерная техника. Сетевое оборудование
294;Программное обеспечение
295;Технологии и средства программирования
296;Бионические модели в радиоэлектронике. Нейротехнологии
297;Робототехника
298;Компьютерные сети. Интернет
299;Информационные системы и ресурсы. Базы и банки данных
300;Оргтехника и прочие средства автоматизации информационных процессов
301;Деревообрабатывающая промышленность. Легкая промышленность. Товары народного потребления. Полиграфия. Фотокинотехника
302;Технологии древесины. Деревообрабатывающие производства
303;Текстильное производство
304;Швейное производство
305;Кожевенное, обувное и меховое производства
306;Производство товаров широкого потребления
307;Полиграфическое производство
308;Фотокинотехника
309;Строительство
310;Теоретические основы и общие технологии строительства
311;Изыскания и архитектурно-строительное проектирование
312;Строительные материалы и изделия
313;Архитектурные и строительные конструкции
314;Технология строительного производства
315;Гражданское и санитарно-техническое строительство
316;Промышленное, сельскохозяйственное, транспортное и энергетическое строительство
317;Подземное и гидротехническое строительство
318;Другие виды строительства
319;Благоустройство и экология населенных мест. Коммунальное хозяйство
320;Транспорт
321;Общие вопросы транспорта и организации перевозок
322;Железнодорожный транспорт
323;Автодорожный транспорт. Автомобили
324;Водный транспорт
325;Воздушный транспорт. Авиация
326;Космический транспорт. Космонавтика
327;Трубопроводный транспорт
328;Городской транспорт. Правила дорожного движения
329;Промышленный транспорт
330;Сельское, лесное, охотничье и рыбное хозяйство
331;Естественнонаучные и технологические основы сельского хозяйства
332;Сельскохозяйственная биология. Экология сельского хозяйства
333;Агрофизика
334;Сельскохозяйственная метерология
335;Почвоведение
336;Агрохимия
337;Сельскохозяйственная микробиология
338;Сельскохозяйственная мелиорация
339;Механизация и автоматизация сельского хозяйства. Авиация и космическая техника в сельском хозяйстве
340;Сельскохозяйственные постройки
341;Сельскохозяйственная география
342;Растениеводство
343;Общее растениеводство. Биологические основы растениеводства
344;Селекция, семеноводство, сорта
345;Земледелие. Агротехника
346;Дикорастующие, используемые в народном хозяйстве. Растительные ресурсы и сырье
347;Особенности растениеводства в различных условиях. География и природное районирование растениеводства
348;Полеводство
349;Кормопроизводство. Кормовые растения
350;Овощеводство. Садоводство
351;Субтропические и тропические культуры
352;Лесное хозяйство. Лесохозяйственные науки
353;Лесоводство
354;Лесоустройство. Таксация леса
355;Отдельные группы и породы лесных дереьев и кустарников
356;Лесопользование. Лесоэксплуатация
357;Защита растений
358;Сорные растения и борьба с ними
359;Вредители растений и борьба с ними
360;Болезни растений и борьба с ними. Фитопатология
361;Защита растений от неблагоприятных метерологических факторов и стихийных бедствий
362;Защита сельскохозяйственных культур, лесных пород и леса в целом
363;Животноводство
364;Общее животноводство. Биологические основы животноводства
365;Разведение и племенное дело. Кормление и содержание животных
366;Обучение и дрессировка животных. Использование животных
367;География и природное районирование животноводства
368;Скотоводство. Крупный и мелкий рогатый скорт. Коневодство, ословодство, муловодство
369;Верблюдоводство. Оленеводство
370;Кролиководство. Свиноводство
371;Другие животные, содержащие человеком. Кинология. Фелинология
372;Птицеводство
373;Использование человеком насекомых. Пчеловодство. Шелководство
374;Охотничье и рыбное хозяйство
375;Охотничье хозяйство
376;Рыбное хозяйство
377;Морской зверобойный промысел
378;Промысловые водные беспозвоночные
379;Другие промысловые животные
380;Ветеринария. Защита животных
381;Зоогигиена и ветеринарная санитария
382;Эпизоотология
383;Патология животных
384;Ветеринарная микробиология, вирусология, паразитология и иммунология
385;Ветеринарная фармакология, токсикология и фармация
386;Ветеринарная диагностика и терапия. Ветеринарная радиология
387;Частная патология и терапия болезней животных. Внутренние незаразные болезни
388;Инфекционные и паразитарные болезни животных. Микозы животных
389;Ветеринарные хирургия, акушерство, гинекология, андрология
390;Судебная ветеринария. Военная ветеринария
391;Заготовки, хранение и переработка сельскохозяйственной продукции. Пищевые производства
392;Теоретические основы пищевых производств. Процессы и аппараты
393;Мукомольное, крупяное, хлебопекарное, сахарное, крахмально-паточное и кондитерское производства
394;Бродильные производства. Производства алкогольных и безалкогольных напитков
395;Переработка плодов и овощей
396;Производство мяса и мясных продуктов
397;Производство птицепродуктов
398;Производство рыбы и рыбных продуктов
399;Производство молока и молочных продуктов
400;Производство консервов, пищевых концентратов, вкусовых продуктов
401;Технология общественного питания. Кулинария
402;Здравоохранение и медицина
403;Организация здравоохранения. Гигиена. Эпидемиология
404;Социальная гигиена и организация здравоохранения
405;Гигиена. Санитария
406;Гигиена питания и диетология. Диетотерапия и лечебное питание
407;Гигиена труда
408;Эпидемология
409;Прикладные отрасли медицины. Военная медицина в целом
410;Общая патология и патофизиология. Вирусология, микробиология и паразитология
411;Общая патология
412;Иммунопатология
413;Медицинская вирусология
414;Медицинская микробиология
415;Биопрепараты
416;Медицинская паразитология
417;Возрастная патология. Гериатрия
418;Хрономедицина (биоритмы)
419;Фармакология. Фармация. Токсикология
420;Фармакология
421;Фармация
422;Токсикология
423;Клиническая медицина в целом. Общая диагностика и общая терапия
424;Общая диагностика
425;Неотложная и интенсивная терапия. Реанимация. Уход за больными. Анастезиология
426;Лекарственная терапия
427;Биологические методы лечения
428;Физиотерапия и курортология. Восстановительная медицина
429;Звукотерапия, хромотерапия, ароматерапия. Детоксикация
430;Психотерапия, трудотерапия
431;Другие методы лечения. Нетрадиционная медицина. Рефлексотерапия. Парамедицина
432;Народная медицина. Восточная медицина. Гомеопатия.
433;Медицинская радиология и рентгенология
434;Внутренние болезни
435;Болезни сердечно-сосудистой и лимфатической систем. Кардиология, ангиология и лимфология
436;Болезни крови. Гематология
437;Болезни системы дыхания. Пульмонология
438;Болезни системы пищеварения. Гастроэнтерология. Гепатология
439;Болезни почек. Нефрология
440;Болезни эндокринной системы и обмена веществ. Эндокринология
441;Болезни средостения. Болезни диафрагмы
442;Болезни опорно-двигательной системы
443;Отравления
444;Хирургия. Анастезиология. Асептика и антисептика
445;Оперативная хирургия. Топографическая анатомия
446;Общая хирургическая патология
447;Хирургия отдельных областей и органов
448;Травматология и ортопедия
449;Военно-полевая хирургия
450;Инфекционные и паразитарные болезни
451;Кишечные инфекции
452;Инфекции дыхательных путей
453;Кровяные (трансмиссивные) инфекции
454;Вирус иммунодефицита человека (ВИЧ)
455;Зоонозы. Инфекции наружных покровов
456;Фтизиатрия
457;Паразитарные болезни
458;Клиническая медицина
459;Ревматология
460;Онкология
461;Дерматология. Венерология
462;Невропатология. Нейрохирургия
463;Психиатрия. Наркология
464;Стоматология
465;Офтальмология
466;Оториноларингология
467;Урология
468;Медицинская сексология
469;Акушерство и гинекология
470;Физиологические и физиологические особенности женского организма
471;Гигиена женщины
472;Женские болезни
473;Акушерство
474;Педиатрия
475;Неонатология
476;Анатомия и физиология детей и подростков
477;Патология новорожденных. Уход за новорожденными
478;Детские болезни
479;Художественная литература
480;Фольклор
481;Мифы. Легенды. Эпос
482;Сказки
483;Пословицы. Поговорки
484;Народное поэтическое творчество
485;Сборники фольклора
486;Проза
487;Российская проза
488;Зарубежная проза
489;Сборники произведений прозы разных жанров
490;Афоризмы. Цитаты
491;Поэзия. Драматургия
492;Российская поэзия
493;Зарубежная поэзия
494;Сборники поэзии авторов разных стран
495;Драматургия
496;Историческая и приключенческая литература
497;Российская историческая литература
498;Зарубежная историческая литература
499;Российская приключенческая литература
500;Зарубежная приключенческая литература
501;Сборники исторической и приключенческой литературы авторов разных стран
502;Детектив
503;Российский детектив
504;Зарубежный детектив
505;Политический детектив
506;Иронический детектив
507;Сборники детективов авторов разных стран
508;Фантастика
509;Российская фантастика
510;Зарубежная фантастика
511;Фэнтэзи
512;Мистическая фантастика
513;Литература ужасов
514;Фантастический боевик
515;Сборники произведений в жанре фантастики авторов разных стран
516;Сентиментальная литература
517;Российская сентиментальная литература
518;Зарубежная сентиментальная литература
519;Исторический любовный роман
520;Сборники произведений сентиментальной литературы авторов разных стран
521;Юмористическая литература. Сатира
522;Юмор и сатира российских писателей
523;Юмор и сатира зарубежных писателей
524;Анекдоты
525;Комиксы
526;Сборники юмора и сатиры авторов разных стран
527;Художественно-документальная проза. Мемуары
528;Публицистика
529;Письма. Дневники. Записные книжки
530;Мемуары. Воспоминания
531;Биографии
532;Хроники событий
533;Рассказы путешественников и натуралистов
534;Литература для детей и юношества
535;Фольклор и мифы для детей и юношества
536;Мифы, легенды, эпос (для детей и юношества)
537;Сказки для детей и юношества
538;Пословицы. Поговорки. Загадки
539;Народное поэтическое творчество для детей и юношества
540;Сборники фольклора для детей и юношества
541;Российская художественная литература для детей и юношества
542;Российская проза, сборники разных жанров для детей и юношества
543;Российская историческая проза для детей и юношества
544;Российская приключенческая проза для детей и юношества
545;Российский детектив для детей и юношества
546;Российская фантастика и триллер для детей и юношества
547;Российская художественно-документальная проза для детей и юношества
548;Российская поэзия и драматургия для детей и юношества
549;Российский юмор, сатира, комиксы для детей и юношества
550;Книги по российским мультфильмам
551;Зарубежная художественная литература для детей и юношества
552;Зарубежная проза, сборники разных жанров для детей и юношества
553;Зарубежная историческая проза для детей и юношества
554;Зарубежная приключенческая проза для детей и юношества
555;Зарубежный детектив для детей и юношества
556;Зарубежная фантастика и триллер для детей и юношества
557;Зарубежная художественно-документальная проза для детей и юношества
558;Зарубежная поэзия и драматургия для детей и юношества
559;Зарубежный юмор, сатира, комиксы для детей и юношества
560;Книги по зарубежным мультфильмам
561;Развивающая и познавательная литература для дошкольников
562;Книжки-игрушки
563;Раскраски
564;Дошкольное обучение
565;Подготовка к школе
566;Познавательная литература для школьников по общественным, естественнонаучным и техническим знаниям
567;Философия. Эзотерика. Психология
568;Литература о религии
569;История. Политика. Военное дело
570;Право, юридические науки (познавательная литература для детей и юношества)
571;Экономика
572;Естественные науки. Математика
573;Прикладные науки. Техника
574;Сельское хозяйство
575;Информатика и информационные технологии
576;Познавательная литература для школьников по культуре, филологическим наукам, искусству
577;Культура. Средства массовой информации
578;Языкознание
579;Литературоведение. Фольклористика
580;Искусство. Искусствоведение
581;Музыка. Музыковедение
582;Хореография. Танец. Художественная самодеятельность
583;Театральное искусство (литература для детей и юношества)
584;Эстрада. Цирк
585;Киноискусство. Фотоискусство
586;Литература для детей и юношества по здоровому образу жизни
587;Здоровый образ жизни
588;Личная безопасность и гигиена
589;Физическая культура. Спорт
590;Литература для детей и юношества универсальной тематики
591;Универсальные детские энциклопедии
592;Универсальные детские словари и справочники
593;Тайны, загадки, сенсации (литература для детей и юношества)
594;Внешность. Одежда. Этикет
595;Дружба. Любовь. Семья
596;Детское творчество, досуг и домоводство
597;Литературное творчество. Произведения, написанные детьми
598;Детское изобразительное искусство
599;Детские ремесла, поделки, оригами
600;Модели. Моделирование
601;Рукоделие. Домоводство. Кулинария
602;Филология. Искусство и искусствознание
603;Филологические науки в целом. Языкознание (лингвистика)
604;Общие вопросы филологии. Текстология
605;Риторика. Культутра речи. Стилистика. Ораторское искусство
606;Общие вопросы языкознания
607;Прикладная лингвистика
608;Семьи языков
609;Искусственные языки
610;Частное языкознание. Языки мира
611;Русский язык
612;Английский язык
613;Немецкий язык
614;Французский язык
615;Испанский язык
616;Итальянский язык
617;Португальский язык
618;Китайский язык
619;Арабский язык
620;Фольклористика. Литературоведение и литературная критика
621;Теория и история фольклора
622;Мировой фольклор
623;Фольклор России
624;Фольклор зарубежных стран
625;Общие вопросы литературоведения
626;История и критика мировой литературы
627;История и критика литературы России
628;История и критика литературы зарубежных стран
629;Теория, история и критика детской литературы
630;Изобразительное искусство и архитектура
631;Охрана памятников искусства. Художественные музеи, коллекции и собрания
632;История изобразительного искусства
633;Архитектура. Градостроительство
634;Декоративно-прикладное искусство
635;Скульптура
636;Живопись
637;Графика
638;Художественная фотография
639;Другие формы изобразительного искусства
640;Музыка
641;Теория и история музыки
642;Вокальная музыка
643;Инструментальная музыка. Музыкальные инструменты
644;Вокально-симфоническая музыка
645;Сценическая музыка. Музыка к постановкам и фильмам
646;Другие жанры и виды музыки
647;Либретто и тексты к музыкальным произведениям
648;Музыкальные произведения (нотные издания)
649;Нотные материалы для изучения теории музыки
650;Произведения народного творчества (музыкальный фольклор)
651;Нотные материалы для изучения истории музыки
652;Вокальные произведения
653;Инструментальные произведения
654;Вокально-симфонические произведения
655;Музыкально-сценические произведения. Музыка к постановкам и фильмам
656;Музыкальные произведения других жанров и видов
657;Театр
658;История театра
659;Драматический театр
660;Оперный театр
661;Хореографический театр (балет)
662;Театр оперетты, музыкальной комедии, мюзикла
663;Другие виды музыкального театра
664;Театр пантомимы
665;Театр кукол
666;Театр для детей
667;Киноискусство
668;История киноискусства
669;Художественно-игровое кино
670;Документальное кино
671;Научно-популярное кино
672;Анимационное кино
673;Кино для детей
674;Зрелищные искусства
675;Танец (хореография)
676;Массовые представления и театрализованные праздники
677;Цирк
678;Эстрада
679;Художественное радиовещание и художественное телевидение
680;Художественная самодеятельность
681;Издания универсального содержания
682;Библиографические ресурсы
683;Библиографические ресуры по естествознанию
684;Библиографические ресуры по технике
685;Библиографические ресуры по сельскому и лесному хозяйству
686;Библиографические ресуры по медицине
687;Библиографические ресуры по общественным наукам
688;Библиографические ресуры по культуре, науке, образованию
689;Библиографические ресуры по филологии, литературоведению и художественной литературе
690;Библиографические ресуры по икусству
691;Библиографические ресуры по философии и религии
692;Библиографические ресуры по психологии
693;Справочные материалы
694;Энциклопедии
695;Словари
696;Справочники
697;Телефонные и адресные книги
698;Календари
699;Информационно-рекламные материалы (каталоги, проспекты, афиши)
700;Издания для отдыха и развлечений
701;Кроссворды, головоломки, ребусы
702;Гороскопы, сонники, гадания
703;Игры
704;Тайны. Загадки. Сенсации
705;Познавательно-популярные материалы. Полезные советы
706;Быт, досуг, увлечения
707;Благоустройство жилья. Строительство и ремонт. Дизайн
708;Рукоделие
709;Домоводство и организация быта
710;Домашняя кулинария. Виноделие. Консервирование
711;Сад и огород. Комнатные растения
712;Домашние животные
713;Коллекционирование
714;Внешность. Косметика. Макияж
715;Мода. Стиль. Имидж
716;Открытки, плакаты, постеры
